Contractor,Cty,Value in €,Purpose of the Purchase Order,Type,Year,Period,Country,Procurement-or-bidding
ROHDE & SCHWARZ HUNGARIA,HUN,1201207,CONSTRUCTION OF ATS,Orders Awarded,2015,Q1Q2,Hungary,PROCUREMENT
ATCO FRONTEC,HUN,,SDB140008,,2015,Q1Q2,Hungary,BIDDING
ATCO FRONTEC,HUN,,BRN150006,,2015,Q3Q4,Hungary,BIDDING
KESZ EPITO ES SZERELO ZRT,HUN,,BRN150006,,2015,Q3Q4,Hungary,BIDDING
MEGA - LOGISTIC BERUHAZASI ES UZEMELTETESI ZRT.,HUN,,BRN150006,,2015,Q3Q4,Hungary,BIDDING
SAG-EPITO ZRT,HUN,102295,HAZMAT STORAGE FACILITY-WATER INSULATION WORKS,Orders Awarded,2016,Q3Q4,Hungary,PROCUREMENT
MANPOWER MUNKAERO SZERVEZESI KFT,HUN,121177,NAMP TEMPORARY MANPOWER SUPPORT SERVICE,Outline Agreement,2016,Q3Q4,Hungary,PROCUREMENT
INVITEL TAVKOZLESI ZRT,HUN,160000,PAPA AB IP BASED 250 TELEPHONY SERVICES,Outline Agreement,2016,Q1Q2,Hungary,PROCUREMENT
FLUART,HUN,3908058,SUPPLY OF INFLUENZA HALAL VACCINES,Outline Agreement,2016,Q3Q4,Hungary,PROCUREMENT
ATCO FRONTEC,HUN,4205709,FM SERVICES FOR SAC HANGAR COMPLEX,Outline Agreement,2016,Q1Q2,Hungary,PROCUREMENT
ATCO FRONTEC,HUN,6500000,OUTSOURCING OF COMMUNICATION AND INFORMATION SYSTEMS OPERATIONS AND MAINTENANCE SUPPORT IN BOSNIA AND HERZEGOVINA,Outline Agreement,2016,Q3Q4,Hungary,PROCUREMENT
ATCO FRONTEC,HUN,,JHA160001,,2016,Q1Q2,Hungary,BIDDING
FLUART INNOVATIVE VACCINES,HUN,,TPA16023,,2016,Q3Q4,Hungary,BIDDING
SAG-EPITO ZRT,HUN,105383,CRUSHED CONCRETE MIX REMOVAL,Orders Awarded,2017,Q3Q4,Hungary,PROCUREMENT
MALTECH HUNGARIA KFT,HUN,130030,PROVISION OF HIGH REACH EQUIPMENT FOR HOME STATION CHECKS,Orders Awarded,2017,Q3Q4,Hungary,PROCUREMENT
MICROSOFT EUROPEAN OPERATIONS,IRL,1180729,MICROSOFT PRODUCTS,Orders Awarded,2008,Q3Q4,Ireland,PROCUREMENT
MICROSOFT EUROPEAN OPERAT,IRL,null,NATO DESKTOP,Outline Agreement,2010,Q3Q4,Ireland,PROCUREMENT
BAE SYSTEMS ROKAR INTERNATIONAL LTD,ISR,207641,HELICOPTER SUPPLIES,Orders Awarded,2009,Q3Q4,Israel,PROCUREMENT
ELBIT SYSTEMS,ISR,null,RANDOM BROKERAGE SERVICES,Outline Agreement,2009,Q1Q2,Israel,PROCUREMENT
ELISRA ELECTRONIC SYSTEM LTD,ISR,91792,HELICOPTER SUPPLIES,Orders Awarded,2010,Q1Q2,Israel,PROCUREMENT
ELBIT SYSTEMS,ISR,95570,GROUND LASER DESIGNATORS,Orders Awarded,2010,Q1Q2,Israel,PROCUREMENT
FIBROTEX TECHNOLOGIES LTD,ISR,92554,PERSONAL CAMOUFLAGE SCREEN,Orders Awarded,2011,Q3Q4,Israel,PROCUREMENT
FIBROTEX TECHNOLOGIES LTD,ISR,92554,PERSONAL CAMOUFLAGE SCREEN,Orders Awarded,2011,Q1Q2,Israel,PROCUREMENT
GOLDTEC TECHNOLOGIES LTD,ISR,209178,SPIKE SUPPLIES,Orders Awarded,2011,Q1Q2,Israel,PROCUREMENT
FIBROTEX TECHNOLOGIES LTD,ISR,408870,SAND BAG (MONO BLOCK),Orders Awarded,2011,Q3Q4,Israel,PROCUREMENT
FIBROTEX TECHNOLOGIES LTD,ISR,569800,SAND BAG (MONO BLOCK),Orders Awarded,2011,Q3Q4,Israel,PROCUREMENT
FIBROTEX TECHNOLOGIES LTD,ISR,569800,SAND BAGS (MONO BLOCK),Orders Awarded,2011,Q1Q2,Israel,PROCUREMENT
FIBROTEX TECHNOLOGIES LTD,ISR,1057000,SAND BAG (MONO BLOCK),Orders Awarded,2011,Q3Q4,Israel,PROCUREMENT
ISRAEL MILITARY INDUSTRY,ISR,2138360,AMMUNITION SUPPLIES,Orders Awarded,2011,Q1Q2,Israel,PROCUREMENT
FIBROTEX TECHNOLOGIES LTD,ISR,99240,STATIC CAMOUFLAGE NET,Orders Awarded,2012,Q3Q4,Israel,PROCUREMENT
AERONAUTICS LTD,ISR,2000000,LOGISTIC SUPPORT CONTRACT FOR THE ORBITER UNMANNED AERIAL SYSTEM.,Outline Agreement,2012,Q3Q4,Israel,PROCUREMENT
MEPROLIGHT,ISR,300000,THERMAL SIGHTS,Outline Agreement,2013,Q3Q4,Israel,PROCUREMENT
GOLDTEC TECHNOLOGIES LTD,ISR,1102212,PROVISION OF MDVRS AND RELATED SERVICES,Outline Agreement,2013,Q3Q4,Israel,PROCUREMENT
FIBROTEX TECHNOLOGIES LTD,ISR,3000000,SAND BAGS,Outline Agreement,2013,Q3Q4,Israel,PROCUREMENT
THERMAL BEACON LTD,ISR,258880,SEGNALATORE TERMICO,Orders Awarded,2014,Q3Q4,Israel,PROCUREMENT
ELBIT SYSTEMS,ISR,315680,CIRCUIT CARD ASSEMBLY,Orders Awarded,2014,Q1Q2,Israel,PROCUREMENT
ELBIT SYSTEMS,ISR,396640,TRIPOD,Orders Awarded,2014,Q1Q2,Israel,PROCUREMENT
RAFAEL ADVANCED DEFENSE SYSTEMS LTD,ISR,4453086,SPIKE EILM SUPPORT CAPABILITY FOR POLAND,Outline Agreement,2014,Q1Q2,Israel,PROCUREMENT
ACHIDATEX NAZARETH ELITE 1977 LTD*,ISR,,ELK14070,,2014,Q1Q2,Israel,BIDDING
FIBROTEX TECHNOLOGIES LTD,ISR,,DCO15001,,2015,Q1Q2,Israel,BIDDING
ELBIT SYSTEMS LTD,ISR,,GRA17041,,2018,Q1Q2,,BIDDING
GALILEO AVIONICA SPA,ITA,807000,ROCKET ENGINE,Orders Awarded,2008,Q3Q4,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI SPA,ITA,871367,SUPPLY OF RADAR SPARES,Orders Awarded,2008,Q3Q4,Italy,PROCUREMENT
CITTERIO F.LLI S.P.A.,ITA,880500,SUPPLY OF FLAK JACKET,Orders Awarded,2008,Q3Q4,Italy,PROCUREMENT
ESPLODENTI SABINO SRL,ITA,942783,DEMILITARIZATION,Orders Awarded,2008,Q3Q4,Italy,PROCUREMENT
SICAMB SPA,ITA,1027059,SUPPLY OF AMMUNITION,Orders Awarded,2008,Q3Q4,Italy,PROCUREMENT
BIOTRACE MICROSAFE SRL,ITA,1064500,NBC FIELD LABORATORY,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
SEI SPA,ITA,1372200,SUPPLY OF AMMUNITION,Orders Awarded,2008,Q3Q4,Italy,PROCUREMENT
ELETTRONICA ASTER SPA,ITA,1447901,PROCUREMENT OF PARTS FOR REMOTE ASSET SECURITY SYSTEM (RASS),Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
ARIS SPA,ITA,1907105,OVERHAUL OF ASPIDE ROCKET MOTORS,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
SELEX COMMUNICATIONS SPA,ITA,2258514,COMMUNICATION EQUIPMENT,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
NEC PHILIPS UNIFIED SOLUTIONS,ITA,2935785,RGTI SUPPORT SERVICES,Orders Awarded,2008,Q3Q4,Italy,PROCUREMENT
VITROCISET SPA,ITA,3800000,LOGISTIC SUPPORT FOR PISQ,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
ARIS SPA,ITA,3949100,FLATBED SEMI-TRAILER,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI SPA,ITA,5500000,ENGINEERING SUPPORT  FOR RADARS,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
VITROCISET SPA,ITA,18998907,LOGISTIC SUPPORT FOR PISQ,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
ARIS SPA,ITA,1907105,OVERHAUL OF ASPIDE ROCKET MOTORS,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
ARIS SPA,ITA,3949100,FLATBED SEMI-TRAILER,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
BIOTRACE MICROSAFE SRL,ITA,1064500,NBC FIELD LABORATORY,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
ELETTRONICA ASTER SPA,ITA,1447901,PROCUREMENT OF PARTS FOR REMOTE ASSET SECURITY SYSTEM (RASS),Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
SELEX COMMUNICATIONS SPA,ITA,2258514,COMMUNICATION EQUIPMENT,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI SPA,ITA,5500000,ENGINEERING SUPPORT FOR RADARS,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
VITROCISET SPA,ITA,18998907,LOGISTIC SUPPORT FOR PISQ,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
VITROCISET SPA,ITA,3800000,LOGISTIC SUPPORT FOR PISQ,Orders Awarded,2008,Q1Q2,Italy,PROCUREMENT
AERO SEKUR SPA,ITA,82005,PZH 2000 SUPPLIES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI SPA,ITA,107329,RAT-31 SUPPLIES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
SICOM SPA,ITA,121520,CP SUPPLIES,Orders Awarded,2009,Q3Q4,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI SPA,ITA,138421,MISSILE SERVICES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
ALENIA AERMACCHI SPA,ITA,168424,FIXED WING AIRCRAFT SUPPLIES,Orders Awarded,2009,Q3Q4,Italy,PROCUREMENT
ESPLODENTI SABINO SRL,ITA,175000,AMMUNITION SERVICES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI SPA,ITA,180315,RAT-31 SUPPLIES,Orders Awarded,2009,Q3Q4,Italy,PROCUREMENT
BMA BUIZZA MAZZEI AGENCY SRL,ITA,190432,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2009,Q3Q4,Italy,PROCUREMENT
PROGETTI SPECIALI ITALIANI SRL,ITA,203000,MISSILE SERVICES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI SPA,ITA,215000,RAT-31 SUPPLIES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
SICOM SPA,ITA,222980,CP SUPPLIES,Orders Awarded,2009,Q3Q4,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,235950,A&E SERVICES,Orders Awarded,2009,Q3Q4,Italy,PROCUREMENT
SELEX COMMUNICATIONS SPA,ITA,268433,HELICOPTERS SUPPLIES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI SPA,ITA,270000,RAT-31 SUPPLIES,Orders Awarded,2009,Q3Q4,Italy,PROCUREMENT
SELEX GALILEO SPA,ITA,285000,"MIRACH ENGINES, TURBO",Orders Awarded,2009,Q3Q4,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,300400,ARCHITECTURE/ENGINEERING SERVICES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI SPA,ITA,330867,RAT-31 SUPPLIES,Orders Awarded,2009,Q3Q4,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI SPA,ITA,531060,RAT-31 SUPPLIES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
SELEX GALILEO SPA,ITA,5109805,MIRACH 100/5,Orders Awarded,2009,Q3Q4,Italy,PROCUREMENT
SICOM SPA,ITA,5159300,CAPABILITY PACKAGES SERVICES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
ESPLODENTI SABINO SRL,ITA,5511823,AMMUNITION SERVICES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
PAGE EUROPA SRL,ITA,6110026,CAPABILITY PACKAGES SERVICES,Orders Awarded,2009,Q1Q2,Italy,PROCUREMENT
ALPI AVIATION SRL,ITA,null,MISSILE AND UAV SUPPLIES,Outline Agreement,2009,Q1Q2,Italy,PROCUREMENT
ARIS SPA,ITA,null,TORO MAINTENANCE AND REPAIR,Outline Agreement,2009,Q3Q4,Italy,PROCUREMENT
ELETTRONICA ASTER SPA,ITA,null,RANDOM BROKERAGE SERVICES,Outline Agreement,2009,Q1Q2,Italy,PROCUREMENT
ESPLODENTI SABINO SRL,ITA,null,ROCKET POD M26 - 2010  TRANSPORTATION,Outline Agreement,2009,Q3Q4,Italy,PROCUREMENT
FIOCCHI MUNIZIONI SPA,ITA,null,"CARTRIDGE,5.56 MILLIMETER",Outline Agreement,2009,Q3Q4,Italy,PROCUREMENT
FIORA SRL,ITA,null,LTB35 FORKLIFT,Outline Agreement,2009,Q3Q4,Italy,PROCUREMENT
ITAF TRAINING COMMAND,ITA,null,FIXED WING AIRCRAFT SERVICES,Outline Agreement,2009,Q3Q4,Italy,PROCUREMENT
MBDA ITALIA SPA,ITA,null,SKYGUARD/ASPIDE SERVICES AND SUPPLIES,Outline Agreement,2009,Q3Q4,Italy,PROCUREMENT
PARTICLE MEASURING SYSTEMS SRL,ITA,null,NBC-LAB SUPPLY SUPPORT,Outline Agreement,2009,Q3Q4,Italy,PROCUREMENT
PROGRES SRL,ITA,null,MLRS HANDBRAKE,Outline Agreement,2009,Q3Q4,Italy,PROCUREMENT
RINA SERVICES SPA,ITA,null,INSPECTION ISO CONTAINER,Outline Agreement,2009,Q3Q4,Italy,PROCUREMENT
SCA - SHIPPING CONSULTANTS,ITA,null,PORT SERVICES,Outline Agreement,2009,Q1Q2,Italy,PROCUREMENT
SELEX COMMUNICATIONS SPA,ITA,null,AIR DEFENCE GROUND SERVICES,Outline Agreement,2009,Q1Q2,Italy,PROCUREMENT
SIMMEL DIFESA SPA,ITA,null,AMMUNITION SUPPLIES,Outline Agreement,2009,Q1Q2,Italy,PROCUREMENT
TELEGI SRL,ITA,null,RANDOM BROKERAGE SERVICES,Outline Agreement,2009,Q1Q2,Italy,PROCUREMENT
AIRPORT EQUIPMENT SRL,ITA,84500,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2010,Q3Q4,Italy,PROCUREMENT
PARTICLE MEASURING SYSTEMS SRL,ITA,117000,HYDROGEN PEROXYDE EQUIPMENT,Orders Awarded,2010,Q1Q2,Italy,PROCUREMENT
UEE ITALIA SRL,ITA,175333,AMMUNITION SERVICES,Orders Awarded,2010,Q3Q4,Italy,PROCUREMENT
ELETTRONICA ASTER SPA,ITA,189000,C-130 SUPPLIES,Orders Awarded,2010,Q1Q2,Italy,PROCUREMENT
GELBYSON SRL,ITA,201878,FIXED WING AIRCRAFT SUPPLIES,Orders Awarded,2010,Q1Q2,Italy,PROCUREMENT
BRESCIANI,ITA,205000,TENTS,Orders Awarded,2010,Q1Q2,Italy,PROCUREMENT
GELBYSON SRL,ITA,226070,AWACS SUPPLIES,Orders Awarded,2010,Q3Q4,Italy,PROCUREMENT
AVIATRONIK SPA,ITA,295000,C-130 SUPPLIES,Orders Awarded,2010,Q1Q2,Italy,PROCUREMENT
ALENIA AERMACCHI SPA,ITA,298127,AIRCRAFT SERVICES,Orders Awarded,2010,Q3Q4,Italy,PROCUREMENT
HEAD ITALIA SRL,ITA,324124,C-130 SUPPLIES,Orders Awarded,2010,Q1Q2,Italy,PROCUREMENT
COVER TECHNOLOGY SRL,ITA,383275,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2010,Q3Q4,Italy,PROCUREMENT
SATIMO,ITA,400000,C-130 SUPPLIES,Orders Awarded,2010,Q1Q2,Italy,PROCUREMENT
AGILENT TECHNOLOGIES,ITA,454691,C-130 SUPPLIES,Orders Awarded,2010,Q1Q2,Italy,PROCUREMENT
UEE ITALIA SRL,ITA,549240,AMMUNITION SERVICES,Orders Awarded,2010,Q3Q4,Italy,PROCUREMENT
ALENIA AERMACCHI SPA,ITA,627223,AIRCRAFT SERVICES,Orders Awarded,2010,Q3Q4,Italy,PROCUREMENT
ALENIA AERMACCHI SPA,ITA,671804,C-130 SERVICES,Orders Awarded,2010,Q1Q2,Italy,PROCUREMENT
SAMIL DEFENCE SRL,ITA,688076,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2010,Q3Q4,Italy,PROCUREMENT
BRESCIANI,ITA,744623,AIRCRAFT SUPPLIES,Orders Awarded,2010,Q3Q4,Italy,PROCUREMENT
SELEX COMMUNICATIONS SPA,ITA,875760,HELICOPTER SUPPLIES,Orders Awarded,2010,Q3Q4,Italy,PROCUREMENT
UEE ITALIA SRL,ITA,1738981,AMMUNITION SERVICES,Orders Awarded,2010,Q3Q4,Italy,PROCUREMENT
GE HEALTHCARE TECHNOLOGIES,ITA,null,COMPUTED TOMOGRAPHY SYSTEM,Outline Agreement,2010,Q1Q2,Italy,PROCUREMENT
MBDA ITALIA SPA,ITA,null,FIRE DIRECTION OPERATION CENTER,Outline Agreement,2010,Q3Q4,Italy,PROCUREMENT
NHOE SRL,ITA,null,C-130 REPAIR WORK,Outline Agreement,2010,Q3Q4,Italy,PROCUREMENT
SCA - SHIPPING CONSULTANTS,ITA,null,PORT SERVICES FOR NATO NAVIES,Outline Agreement,2010,Q1Q2,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI S,ITA,null,DLM OSM AND PDS FOR RAT 31,Outline Agreement,2010,Q3Q4,Italy,PROCUREMENT
SIRTI SPA,ITA,null,VLF-MSK SUPPORT,Outline Agreement,2010,Q1Q2,Italy,PROCUREMENT
VITROCISET SPA,ITA,null,ENGINEERING SUPPORT FOR WEAPONS SYSTEMS IN ITALY,Outline Agreement,2010,Q3Q4,Italy,PROCUREMENT
AIRPORT EQUIPMENT SRL,ITA,84500,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
SELEX SISTEMI INTEGRATI SPA,ITA,85000,KIT FOR THE IFF ANTENNA,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
PRAS TECNICA EDILIZIA SRL,ITA,99000,A&E SERVICES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,104550,CIS FACILITY - A&E,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,109000,A&E SERVICES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
MICROTECNICA SRL,ITA,116000,FIXED WING A/C SERVICES,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
SICAMB SPA,ITA,119850,AMMUNITION SUPPLIES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
BRESCIANI,ITA,128760,ELECTRIC SYSTEM,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,130100,IJC HQ FACILITY STUDIES AND DESIGN,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
ST PROTECT SRL,ITA,133125,SURVIVAL OVERALLS,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
AVIO SPA,ITA,152000,FIXED WING A/C SERVICES,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,168000,A&E SERVICES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
UEE ITALIA SRL,ITA,175333,AMMUNITION SERVICES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
GELBYSON SRL,ITA,226070,AWACS SUPPLIES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
PRAS TECNICA EDILIZIA SRL,ITA,284000,KDZ - ACCOMMODATION - A&E & QA SERVICES,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
ALENIA AERMACCHI SPA,ITA,298127,AIRCRAFT SERVICES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
AMA S.P.A.,ITA,315048,FUEL STORAGE AND DISPENSING,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,335025,HQ ISAF - CONSTRUCTION QA SUPPORT,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
COVER TECHNOLOGY SRL,ITA,383275,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
PRAS TECNICA EDILIZIA SRL,ITA,385505,KAIA - A&E SERVICES ON SITE,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
MUGNAIONI PIROTECNICA INDUSTRIALE,ITA,431880,AMMUNITION SUPPLIES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
ATA SRL,ITA,524960,GENERATORS AND AIRCONDITIONING SYSTEMS,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
SAMIL DEFENCE SRL,ITA,538160,SPECIAL CONTAINERS,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
UEE ITALIA SRL,ITA,549240,AMMUNITION SERVICES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
MAGNAGHI AERONAUTICA SPA,ITA,561000,FIXED WING A/C SERVICES,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
ALENIA AERMACCHI SPA,ITA,627223,AIRCRAFT SERVICES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
SAMIL DEFENCE SRL,ITA,688076,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,693750,ISAF HQ - FRONT GATE ECP -QA ON SITE,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
BRESCIANI,ITA,744623,AIRCRAFT SUPPLIES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
ASIA SRL,ITA,764313,"SHIPPING AND STORAGE CONTAINER,MISCELLAN",Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
SAMIL DEFENCE SRL,ITA,837000,CONTENITORE SPECIAL,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
CONVERGE SPA,ITA,850000,ARMAMENT PROGRAMS MANAGEMENT SYSTEM,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
SELEX COMMUNICATIONS SPA,ITA,875760,HELICOPTER SUPPLIES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
SIMMEL DIFESA SPA,ITA,891000,AMMUNITION SUPPLIES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
BRESCIANI,ITA,935640,WORKSHOP TENT,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
FERRETTO GROUP SPA,ITA,950000,WAREHOUSE MGMT SOFTWARE,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
SIRTI SPA,ITA,1150000,MARITIME CIS SERVICES,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
ARIS SPA,ITA,1153813,MLRS OVERHAUL,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
ALITALIA,ITA,1183842,A-319CJ AIRCRAFTS INTEGRATED LOGISTIC SUPPORT & MAINTENANCE,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
AMA S.P.A.,ITA,1206297,FUEL SUPPLY,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
CIANCIOLA-MONTANARI,ITA,1563000,FOOD SUPPLIES KOSOVO,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
UEE ITALIA SRL,ITA,1738981,AMMUNITION SERVICES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
CIANO TRADING SERVICES SRL,ITA,2389000,FOOD SUPPLIES KOSOVO,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
SARAS S.P.A,ITA,4426871,JET A-1 FUEL FOR THE NATO AWACS,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
SARAS S.P.A,ITA,4449463,JET A-1 FUEL FOR THE NATO AWACS,Orders Awarded,2011,Q3Q4,Italy,PROCUREMENT
SARAS S.P.A,ITA,5114893,AWACS SUPPLIES,Orders Awarded,2011,Q1Q2,Italy,PROCUREMENT
SCA - SHIPPING CONSULTANTS,ITA,7330000,PORT SERVICES,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
SCA - SHIPPING CONSULTANTS,ITA,18000000,PORT SERVICES,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
SCA - SHIPPING CONSULTANTS,ITA,27650000,PORT SERVICES,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
SCA - SHIPPING CONSULTANTS,ITA,54145000,PORT SERVICES,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
IAMCO,ITA,700000000,DLM FOR THE NATO AWACS FLEET,Outline Agreement,2011,Q1Q2,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,76800,KAIA N - CUR ENG 1461 - A&E SERVICES,Orders Awarded,2012,Q3Q4,Italy,PROCUREMENT
VASSALE SRL,ITA,79810,CONTAINERS FOR TRANMSPORTATION & STORAGE OF EXPLOSIVES,Orders Awarded,2012,Q3Q4,Italy,PROCUREMENT
ALENIA AERMACCHI SPA,ITA,86601,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q3Q4,Italy,PROCUREMENT
OMP ENGINEERING SRL,ITA,94500,TRAIGHT-25 CHASSIS TRAILER,Orders Awarded,2012,Q1Q2,Italy,PROCUREMENT
ARIS SPA,ITA,100000,IDIQ  CONTRACT FOR US ARMY VEHICLES,Outline Agreement,2012,Q1Q2,Italy,PROCUREMENT
GORIZIANE GROUP SPA,ITA,100000,IDIQ  CONTRACT FOR US ARMY VEHICLES,Outline Agreement,2012,Q1Q2,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,100000,ON SITE AE AND QA SERVICES CIED LANES KAF,Orders Awarded,2012,Q1Q2,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,101500,ON-SITE QA - CONSOLIDATED CIS FACILITY,Orders Awarded,2012,Q3Q4,Italy,PROCUREMENT
IRD ENGINEERING SRL,ITA,106100,A&E SERVICES AIRFIELD ACCOMMODATION - KAF,Orders Awarded,2012,Q1Q2,Italy,PROCUREMENT
SIRTI SPA,ITA,106750,CIS SUPPLY,Orders Awarded,2012,Q3Q4,Italy,PROCUREMENT
SI.M.AV. SPA,ITA,112000,PLASMA FEASIBILITY STUDY,Orders Awarded,2012,Q1Q2,Italy,PROCUREMENT
PRAS TECNICA EDILIZIA SRL,ITA,115000,KAIA PHASE 1 SUS. WATER SOURCE 35% DESIG,Orders Awarded,2012,Q3Q4,Italy,PROCUREMENT
AVIOGEI AIRPORT EQUIPMENT SRL,ITA,120731,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q1Q2,Italy,PROCUREMENT
SELEX ES SPA,ITA,132620,PROCUREMENT OF VARIOUS ITEMS FOR SPAIN,Orders Awarded,2012,Q3Q4,Italy,PROCUREMENT
SICAMB SPA,ITA,143578,PURCHASE OF AMMUNITION,Orders Awarded,2012,Q1Q2,Italy,PROCUREMENT
FACET ITALIANA SPA,ITA,164100,SUPPLIES FOR FIXED WING AIRCRAFT,Orders Awarded,2012,Q1Q2,Italy,PROCUREMENT
ALEX-SISTEMI SPA,ITA,165500,TRAILER & GENERATOR FISCHER PANDA,Orders Awarded,2012,Q1Q2,Italy,PROCUREMENT
RWM ITALIA SPA,ITA,178000,GRENADES DC-103-IM DSC,Orders Awarded,2012,Q3Q4,Italy,PROCUREMENT
